PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI
152.94,292.49,25.11,21.93,3.57,37.4,35.33,32.53,3.04,77.09
380.53,47.02,181.0,34.87,0.85,99.83,5.98,32.57,4.99,100.93
294.14,81.12,103.52,22.89,2.92,157.77,5.88,22.75,3.55,86.71
241.47,405.36,166.16,12.47,3.07,133.14,17.94,75.23,5.45,120.63
66.63,276.83,67.41,16.24,2.18,146.15,24.55,69.79,1.23,61.1
66.62,14.05,179.63,56.37,3.71,120.29,35.82,55.6,7.88,40.3
27.94,54.65,80.89,26.35,4.68,126.15,32.33,83.31,1.2,30.88
347.14,301.94,7.11,44.98,4.64,153.61,22.84,80.43,12.05,121.46
242.44,12.23,181.55,61.4,2.31,48.69,15.95,63.9,3.66,71.35
284.69,80.76,22.8,83.47,0.65,90.65,44.88,85.12,8.19,75.49
13.13,251.44,67.27,6.64,4.93,43.71,22.05,35.44,13.23,49.08
388.11,314.43,190.26,96.33,4.21,177.84,23.06,28.39,9.83,146.86
333.81,296.86,190.37,76.09,0.71,170.21,11.54,40.23,8.09,126.69
88.87,108.68,116.82,11.65,4.61,11.9,36.79,24.28,5.0,48.96
76.82,323.36,128.21,105.08,4.36,128.48,32.75,59.84,5.13,80.45
77.44,114.39,92.45,110.66,2.64,166.92,13.83,90.25,10.11,49.94
125.18,153.18,62.18,9.21,3.0,36.6,8.3,22.95,14.91,55.37
212.28,338.46,69.09,34.67,2.06,104.39,32.22,29.16,10.0,97.54
175.62,295.84,136.14,97.13,0.37,165.21,31.18,53.91,8.46,90.97
120.04,383.66,151.71,90.29,1.74,10.94,15.93,90.04,11.01,90.28
246.68,299.35,159.36,23.77,4.03,127.05,43.03,43.71,7.09,109.89
60.1,260.06,158.98,26.7,0.12,57.04,11.04,58.04,1.09,59.16
120.4,51.22,22.79,45.72,1.73,166.77,22.29,23.12,8.52,41.22
149.71,171.79,101.41,59.17,2.05,174.94,42.74,31.13,14.37,69.35
185.15,126.69,16.22,74.95,2.73,170.25,21.79,94.0,2.79,66.12
315.14,117.36,112.16,45.53,4.61,87.99,30.54,92.38,10.41,98.19
83.87,438.12,91.1,56.58,1.8,155.86,20.9,20.37,3.17,87.68
208.12,182.96,178.1,90.2,1.8,152.8,15.97,91.39,8.13,88.43
239.0,402.5,73.43,6.33,3.71,60.84,44.36,67.93,1.63,111.89
23.35,287.7,27.83,31.79,2.32,150.06,21.37,85.09,6.87,51.8
244.98,359.72,32.88,86.18,1.2,11.48,40.76,54.11,11.39,102.26
72.36,231.16,153.49,107.63,2.32,109.35,14.2,58.67,5.34,65.97
30.7,263.84,125.55,62.38,0.79,45.25,13.52,56.66,10.04,53.54
379.81,226.71,24.72,64.79,0.96,26.1,6.25,70.01,11.97,111.09
386.42,95.91,21.4,14.65,2.54,18.47,31.07,30.47,13.92,96.37
324.32,327.88,141.69,54.79,2.15,126.85,19.74,22.25,3.67,125.61
125.32,133.54,19.19,64.85,4.58,64.48,39.57,43.09,6.11,55.42
43.58,20.7,165.26,30.61,1.88,131.83,23.93,72.85,2.46,31.5
275.27,294.01,142.72,33.77,2.94,16.44,43.73,35.14,14.89,109.42
178.86,87.93,20.86,46.52,3.2,60.18,12.42,70.51,13.92,57.29
53.21,423.8,21.54,4.37,0.16,99.41,39.74,92.74,8.19,68.18
200.59,429.73,197.39,40.01,3.35,143.38,36.06,27.04,12.66,119.69
18.58,412.54,77.98,26.95,0.97,60.78,35.84,70.45,7.91,65.43
364.18,172.87,77.28,40.64,4.81,114.53,38.79,53.28,9.43,113.15
107.22,16.8,163.5,16.13,0.83,160.05,35.44,85.11,1.52,41.9
266.7,418.46,189.71,107.08,2.13,112.78,30.05,33.29,11.38,130.71
128.13,198.4,197.27,72.04,0.52,45.77,10.25,71.95,2.09,70.15
210.43,435.33,151.91,82.13,4.98,9.27,6.3,82.86,12.43,120.13
220.95,433.99,78.37,95.12,2.56,157.27,41.83,90.85,11.77,116.53
78.02,385.32,21.28,60.82,3.02,8.72,29.67,71.24,10.69,73.3
387.99,139.56,156.54,12.26,0.43,158.07,36.86,57.29,0.74,111.97
